iter	RMSE
0	316.871379
1	311.612557
2	306.4289322
3	301.6239589
4	297.2628069
5	292.305618
6	287.6673182
7	283.3222589
8	278.6637962
9	274.3478945
10	269.6171614
11	265.4342563
12	261.3337372
13	257.3975891
14	253.6771924
15	249.7935396
16	246.7530371
17	243.4351815
18	240.1565742
19	236.9618584
20	233.135334
21	229.7795268
22	226.7611022
23	223.6233092
24	220.8818473
25	218.4481275
26	215.900145
27	212.9178787
28	210.1581625
29	207.4754309
30	205.0156164
31	202.9686548
32	200.6745194
33	198.3677748
34	195.746042
35	193.4240193
36	191.0899811
37	188.8082594
38	187.0853198
39	184.9977566
40	182.5299459
41	180.5971882
42	178.5852518
43	177.0598797
44	175.3550257
45	173.6635994
46	172.0275452
47	170.4755198
48	168.7168783
49	167.1384391
50	165.4376248
51	163.8135687
52	162.416004
53	160.9488877
54	159.647146
55	158.3091316
56	157.2406943
57	156.0849518
58	154.7770156
59	153.3100908
60	151.7301206
61	150.6927223
62	149.2900831
63	147.8586945
64	146.7604905
65	145.5031883
66	144.5737252
67	143.4747109
68	142.6690273
69	141.4516529
70	140.233488
71	139.4351231
72	138.5646628
73	137.697433
74	136.3287332
75	135.3689111
76	134.4805925
77	133.7692191
78	132.8157596
79	131.7896501
80	131.0336277
81	130.2745862
82	129.3294999
83	128.3698838
84	127.5616737
85	126.8135703
86	125.8152488
87	125.0931909
88	124.5994961
89	123.9482709
90	123.356747
91	122.7593679
92	121.8614647
93	121.1671238
94	120.5094745
95	119.7898726
96	119.1802069
97	118.5845809
98	117.8735228
99	117.2325062
100	116.4013091
101	115.7458012
102	115.2066048
103	114.5490777
104	113.9557534
105	113.2401465
106	112.7064878
107	112.0167282
108	111.4457065
109	110.6969521
110	110.1949714
111	109.6725618
112	109.0098489
113	108.3885644
114	107.9087158
115	107.4420541
116	106.6909263
117	106.2025509
118	105.842673
119	105.3493462
120	104.7386779
121	104.3311887
122	103.9886036
123	103.6776633
124	103.1985832
125	102.6014975
126	102.1839916
127	101.8043133
128	101.2070618
129	100.5099208
130	100.1308612
131	99.83513626
132	99.45774575
133	99.06702632
134	98.66649994
135	98.20706591
136	97.77882179
137	97.30901357
138	96.7303415
139	96.4941826
140	96.00556523
141	95.50178897
142	95.00300672
143	94.5455324
144	94.17900088
145	93.72144243
146	93.39671447
147	92.92870713
148	92.63287708
149	92.14388419
150	91.68447339
151	91.36916684
152	90.99435755
153	90.50843921
154	90.15125219
155	89.7687551
156	89.49684198
157	88.9764235
158	88.58111885
159	88.24798617
160	87.80768772
161	87.52180418
162	87.0159647
163	86.69473977
164	86.26080975
165	85.87465672
166	85.54530789
167	85.22261971
168	84.91694983
169	84.53236569
170	84.19703036
171	83.66753376
172	83.29336528
173	82.86927086
174	82.49839727
175	82.3193825
176	81.81100959
177	81.50110081
178	81.10999306
179	80.66045008
180	80.43153033
181	80.10081717
182	79.67502879
183	79.2873098
184	78.94837731
185	78.80370161
186	78.49909512
187	78.09034267
188	77.7039758
189	77.52343629
190	77.17312127
191	76.79448159
192	76.57928786
193	76.33474471
194	75.94006733
195	75.52900654
196	75.20738883
197	74.94667243
198	74.58050578
199	74.27781749
200	74.02523368
201	73.60114617
202	73.50841629
203	73.21022531
204	72.8837314
205	72.59713137
206	72.18708044
207	72.04431373
208	71.70880288
209	71.53532524
210	71.30061702
211	71.07053872
212	70.77708961
213	70.45430805
214	70.26935294
215	69.982861
216	69.60115004
217	69.31194634
218	68.96596855
219	68.60275854
220	68.30234026
221	68.00994501
222	67.72722662
223	67.35247417
224	66.87525263
225	66.6251391
226	66.36826751
227	66.01589834
228	65.61271089
229	65.30551429
230	65.0304598
231	64.87312243
232	64.76931715
233	64.48189154
234	64.29181279
235	64.18379462
236	63.94608239
237	63.8549548
238	63.50978323
239	63.27546465
240	62.96499282
241	62.83852422
242	62.62616665
243	62.4914175
244	62.2702754
245	62.02189392
246	61.72463758
247	61.43516756
248	61.21239711
249	61.00524609
250	60.75906775
251	60.50543105
252	60.2436493
253	60.07456288
254	59.73054987
255	59.51408562
256	59.18025218
257	58.97191786
258	58.71009407
259	58.44060227
260	58.14842426
261	57.81932226
262	57.65580006
263	57.41646401
264	57.20845073
265	57.02986148
266	56.72836997
267	56.57429962
268	56.44514092
269	56.32233925
270	56.26518012
271	55.89509068
272	55.79005549
273	55.41406581
274	55.07372479
275	54.89212152
276	54.75022091
277	54.57052589
278	54.34720693
279	54.22357611
280	53.94271406
281	53.68601211
282	53.50077186
283	53.17521355
284	53.07887724
285	52.82461838
286	52.53529255
287	52.37812631
288	52.3187137
289	52.0770294
290	51.92347338
291	51.79564244
292	51.55796861
293	51.52043126
294	51.25071711
295	51.21407348
296	51.04432399
297	50.76057761
298	50.47249202
299	50.17931389
300	50.00601329
301	49.8597275
302	49.63086946
303	49.59768246
304	49.317772
305	49.04687682
306	48.85393679
307	48.53970616
308	48.32663475
309	48.15069431
310	48.1173688
311	47.94889608
312	47.81506436
313	47.67882924
314	47.44811774
315	47.18852996
316	47.04310616
317	46.91058381
318	46.67808422
319	46.55079285
320	46.38825556
321	46.18489153
322	45.91442655
323	45.86018293
324	45.80983572
325	45.55269445
326	45.48925872
327	45.44842578
328	45.11887677
329	45.01712352
330	44.98134102
331	44.70189182
332	44.62365591
333	44.49921893
334	44.30652597
335	44.09406228
336	43.9254927
337	43.83709901
338	43.77925471
339	43.5786397
340	43.34784811
341	43.09621648
342	42.93551151
343	42.81662397
344	42.79888717
345	42.72740419
346	42.48781943
347	42.28356612
348	42.11684453
349	41.91340053
350	41.70209338
351	41.4939414
352	41.40212256
353	41.19313772
354	41.02662581
355	40.8300606
356	40.65690076
357	40.51124655
358	40.27685492
359	40.09345667
360	39.97127129
361	39.83100083
362	39.69318183
363	39.59972826
364	39.44651905
365	39.43115566
366	39.36667099
367	39.25739976
368	39.1213
369	38.9974802
370	38.96994204
371	38.83012577
372	38.61569976
373	38.48231549
374	38.40408005
375	38.34357396
376	38.20024074
377	38.17761899
378	38.13526696
379	38.02138975
380	37.95985028
381	37.83281913
382	37.7660026
383	37.58480297
384	37.37306532
385	37.32563877
386	37.13643925
387	36.93635766
388	36.79869855
389	36.58899155
390	36.42409293
391	36.37893435
392	36.20217907
393	36.16060562
394	36.14551115
395	36.01505939
396	35.98664053
397	35.87338808
398	35.78225843
399	35.71048671
400	35.68510952
401	35.50544226
402	35.40311351
403	35.24288897
404	35.14000047
405	35.03711146
406	34.8233542
407	34.64541434
408	34.49604337
409	34.41084382
410	34.23934199
411	34.08125058
412	33.95582131
413	33.83864048
414	33.80429155
415	33.76195513
416	33.62635086
417	33.56454491
418	33.4293565
419	33.29160554
420	33.24982646
421	33.16844778
422	33.13381768
423	33.06856973
424	32.96198894
425	32.91975888
426	32.75078326
427	32.65306317
428	32.60461579
429	32.45650782
430	32.42703466
431	32.29278813
432	32.25169476
433	32.11492959
434	32.00189711
435	31.97318089
436	31.85258477
437	31.80122765
438	31.73249495
439	31.6566083
440	31.61485335
441	31.49212477
442	31.40587612
443	31.27618595
444	31.25387305
445	31.10370687
446	31.00724371
447	30.89643541
448	30.8244055
449	30.76029048
450	30.61000656
451	30.53570643
452	30.40579438
453	30.25684812
454	30.13226668
455	30.03508343
456	29.92213625
457	29.85220385
458	29.82040292
459	29.79395688
460	29.64954279
461	29.57943867
462	29.48660854
463	29.3959593
464	29.26384183
465	29.07337769
466	28.98226286
467	28.90170217
468	28.76714661
469	28.67943793
470	28.54387753
471	28.43579732
472	28.29418562
473	28.19559105
474	28.07897452
475	27.98885461
476	27.84420663
477	27.761585
478	27.66347209
479	27.56799479
480	27.54877505
481	27.48020053
482	27.46078305
483	27.38490244
484	27.36434116
485	27.23536777
486	27.18890565
487	27.14605398
488	27.12640757
489	27.09377177
490	27.02110059
491	26.9125033
492	26.76773902
493	26.63980603
494	26.53531948
495	26.4575719
496	26.37885677
497	26.25789712
498	26.14181027
499	26.00584933
500	25.87779855
501	25.76714797
502	25.74299798
503	25.6357385
504	25.61025458
505	25.51908756
506	25.40211659
507	25.2988154
508	25.1834635
509	25.11812884
510	24.9803333
511	24.88997043
512	24.82489934
513	24.75809343
514	24.72137586
515	24.63810522
516	24.5841926
517	24.50358993
518	24.37419479
519	24.25637145
520	24.17102374
521	24.07609688
522	24.04779068
523	23.97724406
524	23.86559875
525	23.79472605
526	23.7373954
527	23.6169205
528	23.53535441
529	23.44183214
530	23.41207614
531	23.32746246
532	23.22293164
533	23.13373434
534	22.99987854
535	22.89679237
536	22.81441941
537	22.73813807
538	22.65378932
539	22.62634246
540	22.54258259
541	22.50044606
542	22.45269191
543	22.39016252
544	22.26907407
545	22.20566676
546	22.18789686
547	22.10138583
548	22.08159612
549	21.99817677
550	21.96877139
551	21.84886556
552	21.73369875
553	21.71456528
554	21.55700852
555	21.51492983
556	21.39932889
557	21.3667954
558	21.31194938
559	21.199794
560	21.15912838
561	21.07449433
562	21.03100945
563	20.929063
564	20.88511219
565	20.85548576
566	20.77336475
567	20.6941574
568	20.6286065
569	20.52755795
570	20.4840037
